Название,Цена,Ссылка,Описание,Просмотров,Дата публикации,Продавец,Адрес
Труба бу демонтированная 114ми-1020мм,100,https://www.avito.ru/kurgan/remont_i_stroitelstvo/truba_bu_demontirovannaya_114mi-1020mm_3521572307,"В продаже трубы бу после демонтажа. В наличии: 114х5-6мм, 168х9-11мм, 273х10мм, 530х6мм, 530х7-7,5мм, 720х7-8мм, 720х9мм, 720х11мм, 720х12мм, 820х9,5мм, 1020х9-10мм. Трубы из под воды, нефти и газа. Oплата наличными, без наличным с ндс. Отгрузка oт 2тн. Место отгрузки: г. Сургут, Западное месторoждeние. Цены уточняйте пo телефону, цена зависит от cостояния трубы. Так же вы могли искать нас: труба бу. Трубы бу. Трубу бу. Трубу 530. Труба металическая. Трубы металические 1020 бу. Труба бу 1020. Труба бу 273. Труба бу 530. Труба бу 530х8. Труба бу 720. Труба стальная 720 бу. Труба бу 820. Труба в канаву бу. Труба бу некондиция. Газовые трубы бу. Нефтяная труба бу. Труба бу водянка. Труба бу из под воды. Газовая труба бу. Труба бу размер 219. Труба железная бу. Труба бу 168. Труба бу 114.",0,сегодня в 11:06,Частное лицо,"Курганская область, Курган"
Трубы металлические бу демонтированные,100,https://www.avito.ru/yugorsk/remont_i_stroitelstvo/truby_metallicheskie_bu_demontirovannye_3520842607,"В продаже трубы бу после демонтажа. В наличии: 114х5-6мм, 168х9-11мм, 273х10мм, 530х6мм, 530х7-7,5мм, 720х7-8мм, 720х9мм, 720х11мм, 720х12мм, 820х9,5мм, 1020х9-10мм. Трубы из под воды, нефти и газa. Oплата нaличными, бeз наличным с ндс. Отгрузкa oт 2тн. Место отгрузки: г. Сургут, Зaпадное месторoждeние. Цены уточняйте пo телефону, ценa зависит от cостояния трубы. Так же вы могли искать нас: труба бу. Трубы бу. Трубу бу. Трубу 530. Труба металическая. Трубы металические 1020 бу. Труба бу 1020. Труба бу 273. Труба бу 530. Труба бу 530х8. Труба бу 720. Труба стальная 720 бу. Труба бу 820. Труба в канаву бу. Труба бу некондиция. Газовые трубы бу. Нефтяная труба бу. Труба бу водянка. Труба бу из под воды. Газовая труба бу. Труба бу размер 219. Труба железная бу. Труба бу 168. Труба бу 114.",0,сегодня в 11:51,Частное лицо,"Тюменская область, Югорск"
"Труба бу, прямошевка диаметр от 114мм до 1020мм",100,https://www.avito.ru/uray/remont_i_stroitelstvo/truba_bu_pryamoshevka_diametr_ot_114mm_do_1020mm_3520856602,"В продаже трубы бу после демонтажа. В наличии: 114х5-6мм, 168х9-11мм, 273х10мм, 530х6мм, 530х7-7,5мм, 720х7-8мм, 720х9мм, 720х11мм, 720х12мм, 820х9,5мм, 1020х9-10мм. Трубы из под воды, нефти и газа. Oплата наличными, без наличным с ндс. Отгрузка oт 2тн. Меcто отгрузки: г. Сургут, Западное меcторoждeние. Цены уточняйте пo телефону, цена завиcит от cоcтояния трубы. Так же вы могли искать нас: труба бу. Трубы бу. Трубу бу. Трубу 530. Труба металическая. Трубы металические 1020 бу. Труба бу 1020. Труба бу 273. Труба бу 530. Труба бу 530х8. Труба бу 720. Труба стальная 720 бу. Труба бу 820. Труба в канаву бу. Труба бу некондиция. Газовые трубы бу. Нефтяная труба бу. Труба бу водянка. Труба бу из под воды. Газовая труба бу. Труба бу размер 219. Труба железная бу. Труба бу 168. Труба бу 114.",0,сегодня в 12:01,Частное лицо,"Тюменская область, Урай"
Труба 325 бу,50,https://www.avito.ru/chelyabinskaya_oblast_troitsk/remont_i_stroitelstvo/truba_325_bu_3577862080,Труба б/у 325мм стенка 6мм 50 за кг не значительный торг. Также есть 219мм стенка 6мм. Может подойти для колонн при строительстве. Отрежем по размеру.,92,сегодня в 12:06,Частное лицо,"Челябинская область, Троицк"
Труба бу и новая разных дд,400,https://www.avito.ru/ramenskoe/remont_i_stroitelstvo/truba_bu_i_novaya_raznyh_dd_2643542171,"Предлагаю трубы разных дд от 57 до 1420, режем в размер, есть доставка, огромный выбор Металлобаза.",240,сегодня в 12:36,Частное лицо,"Московская область, Раменский г.о., д. Клишева"
Труба бу диаметры от от 114 до 1020мм,100,https://www.avito.ru/hanty_mansiyskiy_ao_raduzhnyy/remont_i_stroitelstvo/truba_bu_diametry_ot_ot_114_do_1020mm_3521026267,"В продаже трубы бу после демонтажа. В наличии: 114х5-6мм, 168х9-11мм, 273х10мм, 530х6мм, 530х7-7,5мм, 720х7-8мм, 720х9мм, 720х11мм, 720х12мм, 820х9,5мм, 1020х9-10мм. Трубы из под воды, нефти и газа. Oплата наличными, без наличным c ндc. Отгрузка от 2тн. Место отгрузки: г. Сургут, Западное месторождение. Цены уточняйте по телефону, цена зависит от состояния трубы. Так же вы могли искать нас: труба бу. Трубы бу. Трубу бу. Трубу 530. Труба металическая. Трубы металические 1020 бу. Труба бу 1020. Труба бу 273. Труба бу 530. Труба бу 530х8. Труба бу 720. Труба стальная 720 бу. Труба бу 820. Труба в канаву бу. Труба бу некондиция. Газовые трубы бу. Нефтяная труба бу. Труба бу водянка. Труба бу из под воды. Газовая труба бу. Труба бу размер 219. Труба железная бу. Труба бу 168. Труба бу 114.",0,сегодня в 12:32,Частное лицо,"Тюменская область, Радужный"
Труба железная бу,100,https://www.avito.ru/megion/remont_i_stroitelstvo/truba_zheleznaya_bu_3520773355,"В продаже трубы бу после демонтажа. В наличии: 114х5-6мм, 168х9-11мм, 273х10мм, 530х6мм, 530х7-7,5мм, 720х7-8мм, 720х9мм, 720х11мм, 720х12мм, 820х9,5мм, 1020х9-10мм. Трубы из под воды, нефти и газа. Oплата наличными, бeз наличным c ндc. Отгрузка от 2тн. Место отгрузки: г. Сургут, Западное месторождение. Цены уточняйте по телефону, цена зависит от состояния трубы. Так же вы могли искать нас: труба бу. Трубы бу. Трубу бу. Трубу 530. Труба металическая. Трубы металические 1020 бу. Труба бу 1020. Труба бу 273. Труба бу 530. Труба бу 530х8. Труба бу 720. Труба стальная 720 бу. Труба бу 820. Труба в канаву бу. Труба бу некондиция. Газовые трубы бу. Нефтяная труба бу. Труба бу водянка. Труба бу из под воды. Газовая труба бу. Труба бу размер 219. Труба железная бу. Труба бу 168. Труба бу 114.",0,сегодня в 12:47,Частное лицо,"Тюменская область, Мегион"
Труба бу 720,35000,https://www.avito.ru/nytva/remont_i_stroitelstvo/truba_bu_720_3330531651?slocation=621540,"Продам трубу 720 б/у. Цена, а 1 тонну. 80 метров.",140,сегодня в 12:47,Частное лицо,"Пермский край, Нытвенский г.о., Нытва"
Труба,0,https://www.avito.ru/alatyr/remont_i_stroitelstvo/truba_2984628059,"Труба 530 толщина 8мм длина 8,80.",182,сегодня в 12:44,Частное лицо,"Чувашская Республика, Алатырь"
Труба б/у от собственников,100,https://www.avito.ru/nyagan/remont_i_stroitelstvo/truba_bu_ot_sobstvennikov_3521325865,"В продаже трубы бу после демонтажа. В наличии: 114х5-6мм, 168х9-11мм, 273х10мм, 530х6мм, 530х7-7,5мм, 720х7-8мм, 720х9мм, 720х11мм, 720х12мм, 820х9,5мм, 1020х9-10мм. Трубы из под воды, нефти и газа. Oплата наличными, без наличным c ндc. Отгрузка от 2тн. Место oтгрузки: г. Сургут, Западное месторождение. Цены уточняйте по телефону, цена зависит от состояния трубы. Так же вы могли искать нас: труба бу. Трубы бу. Трубу бу. Трубу 530. Труба металическая. Трубы металические 1020 бу. Труба бу 1020. Труба бу 273. Труба бу 530. Труба бу 530х8. Труба бу 720. Труба стальная 720 бу. Труба бу 820. Труба в канаву бу. Труба бу некондиция. Газовые трубы бу. Нефтяная труба бу. Труба бу водянка. Труба бу из под воды. Газовая труба бу. Труба бу размер 219. Труба железная бу. Труба бу 168. Труба бу 114.",0,сегодня в 12:44,Частное лицо,"Тюменская область, Нягань"
Труба Б/У собственники,100,https://www.avito.ru/pyt-yah/remont_i_stroitelstvo/truba_bu_sobstvenniki_3520932061,"В продаже трубы бу после демонтажа. В наличии: 114х5-6мм, 168х9-11мм, 273х10мм, 530х6мм, 530х7-7,5мм, 720х7-8мм, 720х9мм, 720х11мм, 720х12мм, 820х9,5мм, 1020х9-10мм. Трубы из под воды, нефти и газа. Oплата наличными, без наличным c ндc. Отгрузка от 2тн. Место отгрузки: г. Сургут, Западное месторождение. Цены уточняйте по телефону, цена зависит oт состояния трубы. Так же вы могли искать нас: труба бу. Трубы бу. Трубу бу. Трубу 530. Труба металическая. Трубы металические 1020 бу. Труба бу 1020. Труба бу 273. Труба бу 530. Труба бу 530х8. Труба бу 720. Труба стальная 720 бу. Труба бу 820. Труба в канаву бу. Труба бу некондиция. Газовые трубы бу. Нефтяная труба бу. Труба бу водянка. Труба бу из под воды. Газовая труба бу. Труба бу размер 219. Труба железная бу. Труба бу 168. Труба бу 114.",0,сегодня в 12:41,Частное лицо,"Тюменская область, Пыть-Ях"
"Труба бу тонкостенные, толстостенные",100,https://www.avito.ru/langepas/remont_i_stroitelstvo/truba_bu_tonkostennye_tolstostennye_3520976607,"В продаже трубы бу после демонтажа. В наличии: 114х5-6мм, 168х9-11мм, 273х10мм, 530х6мм, 530х7-7,5мм, 720х7-8мм, 720х9мм, 720х11мм, 720х12мм, 820х9,5мм, 1020х9-10мм. Трубы из пoд воды, нeфти и газа. Oплaта наличными, без наличным c ндc. Отгрузкa от 2тн. Место отгрузки: г. Сургут, Западное мeсторождение. Цены уточняйте по телефону, цена зависит от состояния трубы. Так же вы могли искать нас: труба бу. Трубы бу. Трубу бу. Трубу 530. Труба металическая. Трубы металические 1020 бу. Труба бу 1020. Труба бу 273. Труба бу 530. Труба бу 530х8. Труба бу 720. Труба стальная 720 бу. Труба бу 820. Труба в канаву бу. Труба бу некондиция. Газовые трубы бу. Нефтяная труба бу. Труба бу водянка. Труба бу из под воды. Газовая труба бу. Труба бу размер 219. Труба железная бу. Труба бу 168. Труба бу 114.",0,сегодня в 13:02,Частное лицо,"Тюменская область, Лангепас"
Труба б/у от 2тн,100,https://www.avito.ru/yuzhnouralsk/remont_i_stroitelstvo/truba_bu_ot_2tn_3521615809,"В продаже трубы бу после демонтажа. В наличии: 114х5-6мм, 168х9-11мм, 273х10мм, 530х6мм, 530х7-7,5мм, 720х7-8мм, 720х9мм, 720х11мм, 720х12мм, 820х9,5мм, 1020х9-10мм. Трубы из под воды, нефти и газа. Oплата наличными, без наличным c ндc. Отгрузка от 2тн. Место отгрузки: г. Сyргyт, Западное месторождение. Цены уточняйте по телефону, цена зависит от состояния трубы. Так же вы могли искать нас: труба бу. Трубы бу. Трубу бу. Трубу 530. Труба металическая. Трубы металические 1020 бу. Труба бу 1020. Труба бу 273. Труба бу 530. Труба бу 530х8. Труба бу 720. Труба стальная 720 бу. Труба бу 820. Труба в канаву бу. Труба бу некондиция. Газовые трубы бу. Нефтяная труба бу. Труба бу водянка. Труба бу из под воды. Газовая труба бу. Труба бу размер 219. Труба железная бу. Труба бу 168. Труба бу 114.",0,сегодня в 13:21,Частное лицо,"Челябинская область, Южноуральский г.о., Южноуральск"
"Продам трубу 530, стенка 8-10",3700,https://www.avito.ru/norilsk/remont_i_stroitelstvo/prodam_trubu_530_stenka_8-10_3649859435,"Продам трубу 530, стенка 8-10 длина хвостов от 5 до 8 метров. В наличии около 1000 метров. Цена 3700 за 1м.",44,сегодня в 13:54,Частное лицо,"Красноярский край, Норильск"
Труба 1220,45000,https://www.avito.ru/astrahan/remont_i_stroitelstvo/truba_1220_3112872086,Труба лежалая 1220х12 с заводским поперечным швом. Куплена новой в октябре 2020 года. В наличии 1 труба. Есть накладная. Собственник ООО. Перечисление без ндс/нал. Труба круглая электросварная 1220*12 1-3 сп/пс гост 10704-91/ гост 10705-370. - Цена 45 000 руб/тн без ндс. Вес трубы 4360 кг. Могу доставить за отдельную плату.,291,сегодня в 13:45,Частное лицо,"Астраханская область, Астрахань"
Труба бу с демонтажа от собственников,100,https://www.avito.ru/chebarkul/remont_i_stroitelstvo/truba_bu_s_demontazha_ot_sobstvennikov_3520785527,"В продаже трубы бу после демонтажа. В наличии: 114х5-6мм, 168х9-11мм, 273х10мм, 530х6мм, 530х7-7,5мм, 720х7-8мм, 720х9мм, 720х11мм, 720х12мм, 820х9,5мм, 1020х9-10мм. Тpубы из пoд воды, нефти и гaзa. Oплата наличными, без наличным c ндc. Отгрузка от 2тн. Место отгрузки: г. Сургут, Западное месторождение. Цены уточняйте по телефону, цена зависит от состояния трубы. Так же вы могли искать нас: труба бу. Трубы бу. Трубу бу. Трубу 530. Труба металическая. Трубы металические 1020 бу. Труба бу 1020. Труба бу 273. Труба бу 530. Труба бу 530х8. Труба бу 720. Труба стальная 720 бу. Труба бу 820. Труба в канаву бу. Труба бу некондиция. Газовые трубы бу. Нефтяная труба бу. Труба бу водянка. Труба бу из под воды. Газовая труба бу. Труба бу размер 219. Труба железная бу. Труба бу 168. Труба бу 114.",0,сегодня в 13:44,Частное лицо,"Челябинская область, Чебаркульский г.о., Чебаркуль"
Трубы 820х9 б/у,34000,https://www.avito.ru/krasnoturinsk/remont_i_stroitelstvo/truby_820h9_bu_3035442636,"Продаю б/у трубы 820х9 из под воды/пара. Стенка 9+- (отгрузка через машинные весы!). Трубы голые, чистые, без изоляции. Наружка хорошая (можно под восст). Длинные, но встречаются поперечки (возможна выборка). Есть п\ш и с/ш (возможна выборка). Отгрузка со склада в Свердловской области. Цена указана за тонну веса! (возможен Ндс).",105,сегодня в 15:36,Компания,"Свердловская область, Краснотурьинск"
Продам трубу 630 б/у,40,https://www.avito.ru/penza/remont_i_stroitelstvo/prodam_trubu_630_bu_3196608882,"Продам трубу диаметр 630 мм, толщина стенки 7 мм, прямошовная, чистая. В наличии 4 штуки длиной 4,2 — 4,4 метра. Отлично подходит для печек-буржуек. Цена: 40 рублей/кг.",740,сегодня в 15:56,Частное лицо,"Пензенская область, Пенза"
Труба под инструменты,15000,https://www.avito.ru/nefteyugansk/remont_i_stroitelstvo/truba_pod_instrumenty_3426815146,"Продам две трубы под инструменты. Большой размеры: диаметр 1500мм, высота 2250мм, толщина металла 12мм. Имеется полки. Цена 25 000р. Врторой: диаметр 720мм, высота 2200 мм, толщина металла 10мм. Цена 15000р.",0,сегодня в 16:16,Частное лицо,"Тюменская область, Нефтеюганск"
Труба металлическая,2000,https://www.avito.ru/lodeynoe_pole/remont_i_stroitelstvo/truba_metallicheskaya_3142128400,"Продам трубу диаметр 530мм длинна 1500мм. Есть длинны на700мм и 1000. Еще есть одна на 430/1000мм. Есть трубы для забора диаметром на 60,80 и больше. Длинна по 3 метра. Есть разных размеров. Цена обсуждается.",265,сегодня в 16:34,Частное лицо,"Ленинградская область, Лодейнопольский р-н, Лодейнопольское городское поселение, Лодейное Поле"
Труба ж б,2700,https://www.avito.ru/izhevsk/remont_i_stroitelstvo/truba_zh_b_3073591656,"Труба ж. Б диаметр 475 мм и 630мм, так же 310 мм.",858,сегодня в 17:01,Частное лицо,"Удмуртская Республика, Завьяловский р-н, с. Ягул"
"Труба б/у 325 на 8, 273 на 8-13, 219 на 8",45000,https://www.avito.ru/aleksandrov/remont_i_stroitelstvo/truba_bu_325_na_8_273_na_8-13_219_na_8_2099186812,"Всем привет! Цена в городе Александров 45 000 рублей за тонну, в интернете есть калькулятор веса труб по метражу, поэтому считаем стоимость там. Метраж труб от 6 до 12 метров.",375,сегодня в 17:58,Частное лицо,"Владимирская область, Александровский р-н, муниципальное образование Город Александров, Александров"
Труба 720х8,6000,https://www.avito.ru/iglino/remont_i_stroitelstvo/truba_720h8_3189497126,"Труба 720х8 длина 152см, (6000). Цена за весь кусок. Находится в иглино. Возможна доставка.",164,сегодня в 18:01,Частное лицо,"Республика Башкортостан, Иглинский р-н, Иглинский сельсовет, с. Иглино"
Трубы металлические бу,35,https://www.avito.ru/omsk/remont_i_stroitelstvo/truby_metallicheskie_bu_3209673618,"Трубы металлические из-под водопровода, в хорошем состоянии: диам 219, толщина стенки 8 мм — 400 м; 245/8 — 12 м. 273/8 — 47 м. 325/9 — 110 м. Стоимость труб длиной 5 м: 219 — 8000, 245 — 8700, 273 — 9700, 325 — 12700. Находятся в 60 км от Омска в сторону Марьяновки. Самовывоз.",757,сегодня в 18:50,Частное лицо,"Омская область, Омск"
Труба металлическая под дорогу 325,5000,https://www.avito.ru/taldom/remont_i_stroitelstvo/truba_metallicheskaya_pod_dorogu_325_3017523435,"Труба электросварная металлическая под заезд или под дорогу. Диаметр: 325 мм. Толщина: 5 мм. Длина 2,4 м. В наличии 2 отрезка по 5000 руб. Длина +- 1,6 м. В наличии 3 отрезка по 3900 руб (в трех отрезках 5 метров). Цена указана за один кусок. Самовывоз Талдомский район Московской области. В пределах 10-15 километров возможна доставка.",503,сегодня в 19:33,Частное лицо,"Московская область, Талдомский г.о., с. Николо-Кропотки"
Труба диаметр 720 мм. длина 2000 мм,10000,https://www.avito.ru/chelyabinsk/remont_i_stroitelstvo/truba_diametr_720_mm._dlina_2000_mm_3307586334,Труба диаметром 740 мм. Длина 2000 мм. Толщина стенки 10 мм. Самовывоз станция Дубровка 25 км. От Челябинска.,0,сегодня в 20:21,Частное лицо,"Челябинская область, Челябинск"
Труба котловая бу 426 стенка 10мм 18погонных метра,40000,https://www.avito.ru/kazan/remont_i_stroitelstvo/truba_kotlovaya_bu_426_stenka_10mm_18pogonnyh_metra_3546237288,Труба бу в хорошем состоянии 18 метров стенка 10мм.,27,сегодня в 20:57,Компания,"Республика Татарстан, Казань"
"Трубы б/у 159,325,219",50,https://www.avito.ru/perm/remont_i_stroitelstvo/truby_bu_159325219_3301988785,"Труба 325, 159, 219, 102, 89 Также есть уголок, швеллер!",881,сегодня в 22:15,Частное лицо,"Пермский край, Пермь"
Труба 325 мм,3500,https://www.avito.ru/karagay/remont_i_stroitelstvo/truba_325_mm_3054364534,"Продам 1 трубу диам 325 мм стенка 8 мм, длина 6 метров, новая, целая. Цена указана за 1 метр. Хороший торг на месте. Возможен обмен на стройматериалы. Трубы находятся в Карагае.",95,сегодня в 23:19,Частное лицо,"Пермский край, Карагайский муниципальный округ, с. Карагай"
Труба диаметр 530,1,https://www.avito.ru/kurgan/remont_i_stroitelstvo/truba_diametr_530_3233387756,Труба 530 диаметр.,254,сегодня в 00:28,Частное лицо,"Курганская область, Курган"
Труба металическая 820х8,60,https://www.avito.ru/magadan/remont_i_stroitelstvo/truba_metalicheskaya_820h8_3585878024,"Труба металическая 820×8×11500, б/у, чистая, снята с котельной, возможно использование в канаву на заезд, цена 120 т. Р. Возможна резка в размере 5,7 м., цена 65 т. Р. Расчёт нал, карта. При оплате на р/с цена обсуждается! Цена в объявлении указана за кг.",205,сегодня в 01:16,Частное лицо,"Магаданская область, Магадан"
Продам Трубы 300 и 325 стенка 4мм,1750,https://www.avito.ru/tomsk/remont_i_stroitelstvo/prodam_truby_300_i_325_stenka_4mm_3232192047,"Продам Трубы 300 и 325 стенка 4мм, цена за метр.",639,сегодня в 06:07,Частное лицо,"Томская область, г.о. Томск, с. Тимирязевское"
Трубы бу,25,https://www.avito.ru/kirovo-chepetsk/remont_i_stroitelstvo/truby_bu_2237589164,"Труба бу 325*10*1100 4 шт. Возможна доставка Киров, Кирово-Чепецк.",303,сегодня в 05:44,Частное лицо,"Кировская область, Кирово-Чепецк"
"Труба 57, 89, 108, 133",50,https://www.avito.ru/angarsk/remont_i_stroitelstvo/truba_57_89_108_133_1856760027,"Уважаемые клиенты! Если нет возможности дозвониться, то пишите сообщение. Отвечу обязательно. Продам трубу б/у. Диаметр 57, 89, 108, 133, 159, 219, 273, 323, 426, 530, 620, 720, 1020. Идеальное решение, для тех, кому нет необходимости использовать новую. Резка в размер, доставка. Уважаемые клиенты! Прошу обратить ваше внимание. Цена, указанная в обьявлении за кг и может меняться, в зависимости от размеров трубы и объёмов покупки. А также от капризов рынка и международной обстановки.",21820,сегодня в 04:54,Частное лицо,"Иркутская область, Ангарское городское муниципальное образование, Ангарск"
Продам железную трубу с дном,5000,https://www.avito.ru/tomsk/remont_i_stroitelstvo/prodam_zheleznuyu_trubu_s_dnom_3250292700,"Продам трубу диаметром 630мм, высота 800мм, толщина 6мм. Внизу приварен блин диаметром 740мм, толщина 10мм.",541,сегодня в 07:44,Частное лицо,"Томская область, Томск"
Труба металлическая диаметр 150 мм длина 2600 мм,2300,https://www.avito.ru/votkinsk/remont_i_stroitelstvo/truba_metallicheskaya_diametr_150_mm_dlina_2600_mm_3172157151,"Труба металлическая диаметр 150 мм, длина 1420 мм, толщина 5 мм -800 р. Труба диаметр 150 мм, длина 2600 мм, толщина 7 мм с приваренным фланцем диаметром 310 мм -2300р.",386,сегодня в 08:27,Частное лицо,"Удмуртская Республика, Воткинск"
Труба металлическая бу,3500,https://www.avito.ru/belaya_glina/remont_i_stroitelstvo/truba_metallicheskaya_bu_3368055723,"Продам трубу подойдёт для коптильни, буржуйки и т. П, толстостенная, бесшовная., длина 1100мм, диаметр наружный 530мм, толщина стенки 70мм., тяжёлая. Самовывоз.",0,сегодня в 08:37,Частное лицо,"Краснодарский край, Белоглинский р-н"
Трубы б/у,63,https://www.avito.ru/maykop/remont_i_stroitelstvo/truby_bu_3322667461,Продам трубы 273 и 1020 толщина стенки 22.,206,сегодня в 09:01,Частное лицо,"Республика Адыгея, Майкоп"
Труба 82010мм,85000,https://www.avito.ru/bronnitsy/remont_i_stroitelstvo/truba_82010mm_2977001962,"Труба 820×10мм, в Вус изоляция. С внутренней антикоррозийной отделкой.",14,сегодня в 09:24,Частное лицо,"Московская область, Бронницы"
Трубы большого диаметра 1420 восстановленные,58000,https://www.avito.ru/moskva/remont_i_stroitelstvo/truby_bolshogo_diametra_1420_vosstanovlennye_3635188657,Продаю восстановленную трубу 1420 из наличия.,0,сегодня в 09:59,Частное лицо,Москва
Труба металлическая Новая. Восстановленная. Лежала,55000,https://www.avito.ru/chelyabinsk/remont_i_stroitelstvo/truba_metallicheskaya_novaya._vosstanovlennaya._lezhala_3327634267,"Продаем Трубу различных диаметров. В наличии и на заказ. Оказываем услуги по обработке трубы. Продажа с Ндс и за наличный расчет. В наличии на складе: Труба 102-6,5 10705-80, 09г2с, 100 тн 73000 р\тн с ндс. Труба 219-8 Цельнотянутая ц/т восст. 2 тн. 65000 р/тн. С ндс. Труба 273-8 Прямошовка п/ш 60 тн не рабочка 55000 р\тн. С ндс. Труба 273-8 ц/т. 5 тн. 68000 р\тн. С ндс. Труба 273-9 ц/т. Под лежак сталь 20. 20 тн. 68000 р\тн. С ндс. Труба 273-10 ц/т. Под лежак 15 тн. 65000 р\тн. С ндс. Труба 325-8 8732-78 под лежак 20 тн. 83000 р\тн. С ндс. Труба 325-10 8732-78 восст под лежак 28тн 75000 р\тн. С ндс. Труба 325-10 8732-78 не рабочка 20 тн. Ст 20. 85000 р\тн. С ндс. Труба 377-10 1 шт Новая 8732-78 ст 20, 75000 р\тн. С ндс. Труба 426-9 ц/т хорошая восстановка 1 тн. 65000 р\тн. С ндс. Труба 426-10 под лежак 73000 р\тн. Нал. Труба 530-8 п/ш восст. 16 тн. 68000 р\тн. С ндс. Труба 820-9 п/ш. Восст. Хорошая.16 тн 56000 р\тн. С ндс. Труба 820-10 36 тн. Под лежак 68000 р\тн. С ндс. Труба 1220-12 восст. Хорошего качества. 1 шт. 37000 р\тн. Нал. Круг 27 с резерва 100 тн. 55000 р\тн. С ндс.",109,сегодня в 10:06,Компания,"Челябинская область, Сосновский р-н"
Трубы электросварные,0,https://www.avito.ru/nizhniy_novgorod/remont_i_stroitelstvo/truby_elektrosvarnye_2963474375,"Электросварные трубы различных размеров: От 16 до 1420! Есть возможность поставки Б/У металла, поможем сэкономить на вашем заказе. Доставка. Арматура, Лист, Уголок, Балка, Швеллер, Трубы, Полоса, Квадрат, Круг, Сетка, Фасонина, Запорная арматура, Профнастил, Метизы, Проволока.",6,сегодня в 10:23,Частное лицо,"Нижегородская область, Нижний Новгород"
Труба 530/8 Б/У,57,https://www.avito.ru/stupino/remont_i_stroitelstvo/truba_5308_bu_3438824745,"Предлагаем трубу б/у 530/8 пш нефть 300 тонн отгрузка база оптом и в розницу с ндс, нал резки нет.",34,сегодня в 10:22,Частное лицо,"Московская область, Ступино"
Трубы бу,47,https://www.avito.ru/saratov/remont_i_stroitelstvo/truby_bu_2399985588?slocation=621540,"Продается труба, бывшая в употреблении (не гнилая). Подойдет для ливневых каналов, под водостоки для большого объема отводимой жидкости. Остаточная толщина стенки от 7 мм. Труба нарезается под размер заказчика. Бесплатная погрузка в открытые автомобили. В наличии труба следующих размеров 630, 530, 325, 273. Так же имеется в наличии труба малого диаметра 25, 42-45, 57 (данная труба отпускается как есть от 3 до 5 метров). Звоните, пишите, приезжайте смотрите. Индивидуальный подход к каждому покупателю. Новинка на рынке металла! Услуга трейд-ин, обменяй свой металл на наш (оценка вашего металла может производиться с выездом на объект, услуга по выезду предоставляется бесплатно). Свой автопарк, возможность включить доставку в стоимость металла. Так же в наличии имеется новый прокат металла.",4217,сегодня в 11:00,Частное лицо,"Саратовская область, Саратов"
Трубы для столбов заборов,410,https://www.avito.ru/volgograd/remont_i_stroitelstvo/truby_dlya_stolbov_zaborov_2036967120?slocation=621540,"Типоразмеры труб указаны в наружном диаметре. Дн 76; 89; 102; 108; 114; 159; 168; 219; 273; 325; 377; 426; 530; 630; 720; 820; 920; 1020; 1220; 1420; от 1620 мм. — под заказ. Длины труб разные. Диаметры труб ТУ от Дн 76 до 159 — длины 6 м. Диаметры труб б/у восстановленных от Дн 219 до 1420 — длины от 1,7 м. До 11,7 м. Все восстановленные трубы ровные и чистые, поверхность труб готова к нанесению грунта и эмали (качество и состояние труб видно на фото). Цены на восстановленные трубы по запросу. Геометрические и механические свойства труб, изготовленных по ТУ, в допуске согласно техническим стандартам. Мы находимся по адресу: г. Волгоград, ул. Краснополянская (Изумрудный город). График работы склада: Пн-Пт с 8:00 до 14:00. Звоните заранее.",11510,сегодня в 09:19,Частное лицо,"Волгоградская область, Волгоград"
Труба (б/у),42000,https://www.avito.ru/nizhnevartovsk/remont_i_stroitelstvo/truba_bu_1944063098,"Труба (б/у) диаметры от 114 до 1220; цена за тонну от 42000. В наличии, большой выбор! Также берём трубу под реализацию и выкупаем!",4876,сегодня в 11:37,Частное лицо,"Тюменская область, Нижневартовск"
Труба 530х8 бу 220 бу,1,https://www.avito.ru/prohorovka/remont_i_stroitelstvo/truba_530h8_bu_220_bu_3058963353,"Продам трубу толстостенную на печки и т. Д.530я две штуки одна дл 52 см. Вторая дл. 145 см. Также есть труба 220 дл. 128см. Звоните договоримся. И другой меттал швейлер, люк тяжёлый диски камаз на печку звоните уточняйте. Есть рельс р 65 могу отрезать кусок. Самовывоз.",1360,сегодня в 11:32,Частное лицо,"Белгородская область, Прохоровский р-н, городское поселение посёлок Прохоровка, рабочий пос. Прохоровка"
